postalCode,pizza,Papa John's Pizza,Population (Personssort column),Households (Householdssort column),Housing Units (Housing unitssort column),Families (Familiessort column),Male Population (Personssort column),Female Population (Personssort column),Hispanic/Latino Population (Personssort column),White Population (Personssort column),Black/African American Population (Personssort column),American Indian/Alaskan Native Population (Personssort column),Asian Population (Personssort column),Native Hawaiian/Pacific Islander Population (Personssort column),Population Age 5+: Speak Only English at Home (Personssort column),Population Age 5+: Speak Spanish at Home (Personssort column),Population Age 5+: Speak Asian/Pacific Islander Language at Home (Personssort column),Population Age 5+: Speak Indo-European Language at Home (Personssort column),Population Age 5+: Speak Other Language at Home (Personssort column),Population Age 15+: Never Married (Personssort column),"Population Age 15+: Married, Spouse Present (Personssort column)","Population Age 15+: Married, Spouse Absent (Personssort column)",Population Age 15+: Divorced (Personssort column),Population Age 15+: Widowed (Personssort column),Households: 1-Person Household (Householdssort column),Households: 2-Person Household (Householdssort column),Households: 3-Person Household (Householdssort column),Households: 4-Person Household (Householdssort column),Households: 5-Person Household (Householdssort column),Households: 6-Person Household (Householdssort column),Households: 7+ Person Household (Householdssort column),"Household Income: < $15,000 (Householdssort column)","Household Income: $15,000 - $24,999 (Householdssort column)","Household Income: $25,000 - $34,999 (Householdssort column)","Household Income: $35,000 - $49,999 (Householdssort column)","Household Income: $50,000 - $74,999 (Householdssort column)","Household Income: $75,000 - $99,999 (Householdssort column)","Household Income: $100,000 - $124,999 (Householdssort column)","Household Income: $125,000 - $149,999 (Householdssort column)","Household Income: $150,000 - $199,999 (Householdssort column)","Household Income: $200,000 - $249,999 (Householdssort column)","Household Income: $250,000 - $499,999 (Householdssort column)","Household Income: $500,000+ (Householdssort column)",Population Age 25+: Bachelor's Degree (Personssort column),Population Age 25+: Master's Degree (Personssort column),Population Age 25+: Doctorate Degree (Personssort column),Employed Civilian 16+ by Occupation: Architect/Engineer (Personssort column),Employed Civilian 16+ by Occupation: Arts/Entertain/Sports (Personssort column),Employed Civilian 16+ by Occupation: Building Grounds Maint (Personssort column),Employed Civilian 16+ by Occupation: Business/Financial Ops (Personssort column),Employed Civilian 16+ by Occupation: Community/Soc Svcs (Personssort column),Employed Civilian 16+ by Occupation: Computer/Mathematical (Personssort column),Employed Civilian 16+ by Occupation: Construction/Extraction (Personssort column),Employed Civilian 16+ by Occupation: Edu/Training/Library (Personssort column),Employed Civilian 16+ by Occupation: Farm/Fish/Forestry (Personssort column),Employed Civilian 16+ by Occupation: Food Prep/Serving (Personssort column),Employed Civilian 16+ by Occupation: Health Practitioner/Tec (Personssort column),Employed Civilian 16+ by Occupation: Healthcare Support (Personssort column),Employed Civilian 16+ by Occupation: Maintenance Repair (Personssort column),Employed Civilian 16+ by Occupation: Legal (Personssort column),Employed Civilian 16+ by Occupation: Life/Phys/Soc Science (Personssort column),Employed Civilian 16+ by Occupation: Management (Personssort column),Employed Civilian 16+ by Occupation: Office/Admin Support (Personssort column),Employed Civilian 16+ by Occupation: Production (Personssort column),Employed Civilian 16+ by Occupation: Protective Svcs (Personssort column),Employed Civilian 16+ by Occupation: Sales/Related (Personssort column),Employed Civilian 16+ by Occupation: Personal Care/Svc (Personssort column),Employed Civilian 16+ by Occupation: Transportation/Moving (Personssort column),Employed Civilian 16+ by Occupation Group: White Collar (Personssort column),Employed Civilian 16+ by Occupation Group: Blue Collar (Personssort column),Employed Civilian 16+ by Occupation Group: Service and Farm (Personssort column),Population: Age 0-17 (Personssort column),Population: Age 18-24 (Personssort column),Population: Age 25-44 (Personssort column),Population: Age 45-64 (Personssort column),Population: Age 65 + (Personssort column),Male Population: Age 0-17 (Personssort column),Male Population: Age 18-24 (Personssort column),Male Population: Age 25-44 (Personssort column),Male Population: Age 45-64 (Personssort column),Male Population: Age 65 + (Personssort column),Female Population: Age 0-17 (Personssort column),Female Population: Age 18-24 (Personssort column),Female Population: Age 25-44 (Personssort column),Female Population: Age 45-64 (Personssort column),Female Population: Age 65 + (Personssort column),Population Age 25+: High School Graduate or less (Personssort column),Population Age 25+: Associate or less (Personssort column)
33169,1,1,41509.0,13723.0,14696.0,9957.0,19320.0,22189.0,6902.0,5172.0,33110.0,88.0,618.0,16.0,21250.0,6014.0,242.0,10818.0,199.0,16315.0,9680.0,2457.0,3283.0,1197.0,3114.0,3336.0,2624.0,2031.0,1348.0,680.0,590.0,1462.0,1270.0,1557.0,2012.0,2648.0,1845.0,1249.0,808.0,526.0,189.0,124.0,33.0,3549.0,1191.0,133.0,41.0,223.0,878.0,587.0,258.0,265.0,734.0,686.0,16.0,1328.0,1190.0,1273.0,755.0,106.0,17.0,810.0,3132.0,444.0,1193.0,2148.0,480.0,2578.0,9463.0,4511.0,5168.0,10273.0,3704.0,11809.0,9802.0,5921.0,5236.0,1832.0,5568.0,4340.0,2344.0,5037.0,1872.0,6241.0,5462.0,3577.0,19680.0,8338.0
33170,1,1,14116.0,4092.0,4511.0,3293.0,6804.0,7312.0,8180.0,8122.0,4847.0,25.0,161.0,2.0,4310.0,8225.0,77.0,302.0,27.0,4051.0,3930.0,1148.0,1114.0,665.0,612.0,919.0,794.0,747.0,508.0,248.0,264.0,379.0,414.0,387.0,614.0,749.0,524.0,346.0,235.0,195.0,108.0,101.0,40.0,1338.0,308.0,97.0,45.0,78.0,467.0,170.0,79.0,20.0,551.0,138.0,97.0,316.0,452.0,185.0,205.0,9.0,31.0,440.0,602.0,123.0,183.0,786.0,205.0,523.0,2850.0,1402.0,1453.0,3828.0,1340.0,3761.0,3388.0,1799.0,1921.0,673.0,1835.0,1585.0,790.0,1907.0,667.0,1926.0,1803.0,1009.0,6792.0,2257.0
33172,1,1,41807.0,15153.0,16343.0,10868.0,19785.0,22022.0,39152.0,38327.0,961.0,39.0,479.0,1.0,3647.0,35017.0,360.0,605.0,74.0,10704.0,13440.0,3039.0,5902.0,2216.0,3177.0,4373.0,3433.0,2377.0,1102.0,457.0,234.0,1359.0,1218.0,1292.0,2520.0,3204.0,2216.0,1442.0,911.0,632.0,205.0,129.0,25.0,5977.0,2186.0,286.0,423.0,469.0,1153.0,1148.0,185.0,715.0,844.0,667.0,81.0,1010.0,1056.0,693.0,741.0,140.0,222.0,1970.0,3076.0,829.0,358.0,3416.0,610.0,2210.0,13487.0,4624.0,3905.0,7832.0,2852.0,11454.0,12153.0,7516.0,4001.0,1441.0,5742.0,5802.0,2799.0,3831.0,1411.0,5712.0,6351.0,4717.0,21680.0,7976.0
33173,1,1,35296.0,12840.0,13730.0,9278.0,16400.0,18896.0,29729.0,32528.0,819.0,28.0,606.0,4.0,7206.0,25466.0,341.0,592.0,30.0,9273.0,12442.0,2013.0,3954.0,2437.0,2723.0,3941.0,2649.0,2070.0,886.0,355.0,216.0,983.0,645.0,838.0,1318.0,2432.0,1716.0,1270.0,984.0,1166.0,580.0,644.0,264.0,6439.0,2482.0,494.0,363.0,387.0,652.0,1434.0,182.0,427.0,586.0,1376.0,44.0,742.0,1154.0,493.0,428.0,370.0,171.0,2593.0,2435.0,450.0,397.0,2208.0,420.0,1012.0,13100.0,2476.0,2748.0,6258.0,2419.0,9471.0,9923.0,7225.0,3187.0,1244.0,4724.0,4535.0,2710.0,3071.0,1175.0,4747.0,5388.0,4515.0,12289.0,8286.0
33174,1,1,34071.0,10640.0,11035.0,7985.0,16024.0,18047.0,30430.0,30659.0,1255.0,61.0,624.0,5.0,3467.0,28027.0,393.0,585.0,286.0,11376.0,9983.0,2260.0,4045.0,2306.0,1951.0,2919.0,2385.0,1756.0,907.0,445.0,277.0,1234.0,887.0,1048.0,1220.0,1840.0,1588.0,1136.0,702.0,497.0,261.0,179.0,48.0,4906.0,1101.0,226.0,252.0,416.0,1028.0,606.0,294.0,421.0,878.0,873.0,129.0,1095.0,757.0,641.0,544.0,168.0,108.0,1346.0,2104.0,464.0,318.0,1990.0,580.0,1221.0,9335.0,3107.0,3791.0,5013.0,4291.0,8438.0,8795.0,7534.0,2569.0,2163.0,4365.0,4173.0,2754.0,2444.0,2128.0,4073.0,4622.0,4780.0,20001.0,5699.0
33175,1,1,55919.0,16943.0,17481.0,14440.0,26672.0,29247.0,52823.0,53438.0,707.0,43.0,407.0,3.0,4116.0,48765.0,361.0,231.0,113.0,15127.0,20319.0,3404.0,5860.0,3887.0,1916.0,4241.0,3923.0,3498.0,1872.0,855.0,638.0,1310.0,1268.0,1565.0,2119.0,2716.0,2217.0,1725.0,1286.0,1370.0,728.0,507.0,132.0,8097.0,2182.0,340.0,342.0,490.0,1352.0,1042.0,324.0,467.0,1596.0,1145.0,61.0,1008.0,1845.0,793.0,967.0,350.0,110.0,2711.0,4349.0,781.0,808.0,3771.0,1073.0,2166.0,16946.0,5510.0,5095.0,8992.0,4016.0,14642.0,16361.0,11908.0,4564.0,2052.0,7527.0,7694.0,4835.0,4428.0,1964.0,7115.0,8667.0,7073.0,30539.0,10397.0
33176,1,1,52008.0,19150.0,20512.0,13865.0,24476.0,27532.0,34502.0,41367.0,6834.0,85.0,1144.0,22.0,17429.0,29437.0,492.0,1987.0,147.0,13580.0,19814.0,2981.0,5084.0,2873.0,4371.0,5776.0,3812.0,2968.0,1389.0,534.0,300.0,1438.0,1039.0,1051.0,1770.0,3174.0,2275.0,1701.0,1256.0,1821.0,1121.0,1523.0,981.0,9447.0,4228.0,724.0,639.0,790.0,1015.0,1585.0,586.0,723.0,699.0,1797.0,117.0,1270.0,1927.0,673.0,749.0,674.0,184.0,3813.0,3821.0,358.0,524.0,3838.0,548.0,1238.0,20377.0,3044.0,4147.0,9412.0,4168.0,13274.0,14369.0,10785.0,4829.0,2146.0,6698.0,6546.0,4257.0,4583.0,2022.0,6576.0,7823.0,6528.0,15063.0,12551.0
33178,1,1,57853.0,17421.0,19647.0,13902.0,29621.0,28232.0,47185.0,49949.0,3408.0,110.0,1354.0,7.0,7103.0,43192.0,560.0,2749.0,341.0,13760.0,22069.0,4036.0,5544.0,1222.0,2553.0,4380.0,3589.0,3828.0,2042.0,713.0,316.0,1310.0,723.0,915.0,1516.0,2641.0,2545.0,2283.0,1794.0,1771.0,850.0,842.0,231.0,11253.0,5612.0,401.0,411.0,942.0,407.0,2476.0,317.0,676.0,569.0,958.0,5.0,657.0,966.0,414.0,467.0,150.0,48.0,6152.0,3459.0,398.0,327.0,5411.0,722.0,1766.0,21966.0,3200.0,2532.0,13587.0,5542.0,16774.0,16174.0,5776.0,6992.0,3074.0,8696.0,8246.0,2613.0,6595.0,2468.0,8078.0,7928.0,3163.0,14614.0,11152.0
33179,1,1,45824.0,17923.0,19843.0,11512.0,21297.0,24527.0,19091.0,23185.0,18431.0,91.0,882.0,14.0,14957.0,17273.0,564.0,9860.0,738.0,14225.0,14460.0,3120.0,4293.0,2233.0,5337.0,5142.0,3171.0,2299.0,1168.0,479.0,327.0,1489.0,1396.0,1857.0,2685.0,3756.0,2286.0,1409.0,972.0,954.0,474.0,420.0,225.0,5725.0,2367.0,251.0,259.0,402.0,1154.0,1590.0,551.0,283.0,986.0,1225.0,1.0,1266.0,1787.0,988.0,619.0,475.0,70.0,1910.0,2831.0,502.0,767.0,3236.0,679.0,1912.0,14619.0,4019.0,4855.0,9077.0,3548.0,11976.0,12707.0,8516.0,4643.0,1759.0,5788.0,5779.0,3328.0,4434.0,1789.0,6188.0,6928.0,5188.0,17422.0,11718.0
33180,1,1,36822.0,16658.0,22837.0,9726.0,17142.0,19680.0,17828.0,32327.0,1920.0,37.0,648.0,7.0,12414.0,15156.0,486.0,4306.0,2587.0,6951.0,15473.0,1406.0,4615.0,2708.0,5676.0,6008.0,2437.0,1538.0,705.0,228.0,66.0,1430.0,1226.0,1234.0,1744.0,2192.0,1557.0,1307.0,1104.0,1569.0,1034.0,1387.0,874.0,9123.0,3635.0,464.0,217.0,756.0,252.0,1835.0,231.0,316.0,221.0,736.0,10.0,461.0,706.0,172.0,259.0,355.0,104.0,3571.0,1584.0,317.0,419.0,3289.0,572.0,694.0,13700.0,1491.0,1886.0,6757.0,2241.0,8027.0,9553.0,10244.0,3501.0,1135.0,3845.0,4434.0,4227.0,3256.0,1106.0,4182.0,5119.0,6017.0,6480.0,9534.0
